key,locale,package,origin_text,text
activity::admin.pin_profile_label,en,metafox/activity,The maximum number of posts that can be pinned on the Profile User/ Page/ Group,A Profil Felhasználó/Oldal/Csoporton rögzíthető bejegyzések maximális száma.
activity::admin.prevent_from_edit_feed_item,en,metafox/activity,Prevent from editing feed item,Megakadályozza az üzenetek szerkesztését.
activity::admin.schedule_on_feed_description,en,metafox/activity,"If enabled, users will be able to schedule when sharing items on feed.","Ha engedélyezve van, a felhasználók ütemezhetik az elemek megosztását a hírfolyamban."
activity::admin.schedule_on_feed_label,en,metafox/activity,Enable Schedule on Feed,Ütemezés engedélyezése a hírfolyamban
activity::admin.sort_default_description,en,metafox/activity,Select the default criterion to sort in New Feed. This setting will be applied for new registered users on your site only.,Válassza ki az alapértelmezett feltételt az Új hírfolyamban való rendezéshez. Ez a beállítás csak a webhelyén regisztrált új felhasználókra vonatkozik.
activity::admin.sort_default_label,en,metafox/activity,Default criterion to sort on New Feed,Alapértelmezett feltétel az új hírcsatorna alapján történő rendezéshez
activity::admin.spam_check_status_updates_description,en,metafox/activity,Define how many status updates should we check to see if the new status update the user is adding is similar and if one is we will guide them to add another status update.,"Határozza meg, hány állapotfrissítést kell ellenőriznünk, hogy megnézzük, a felhasználó által hozzáadott új állapotfrissítés hasonló-e, és ha igen, akkor útmutatást adunk egy újabb állapotfrissítés hozzáadásához."
activity::admin.spam_check_status_updates_label,en,metafox/activity,Spam Check Status Updates,Spam ellenőrzés állapotfrissítések
activity::admin.sponsored_feed_cache_time_description,en,metafox/activity,Define how long we should keep the cache for the Sponsored Feed by minutes. 0 means we do not cache this data.,"Percenként határozza meg, hogy mennyi ideig őrizzük meg a szponzorált hírfolyam gyorsítótárát. A 0 azt jelenti, hogy ezeket az adatokat nem tároljuk a gyorsítótárban."
activity::admin.sponsored_feed_cache_time_label,en,metafox/activity,Sponsored Feed Cache Time,Szponzorált hírfolyam gyorsítótár ideje
activity::admin.top_stories,en,metafox/activity,Top Stories,Top történetek
activity::admin.top_stories_both,en,metafox/activity,Both,Mindkét
activity::admin.top_stories_comment,en,metafox/activity,Comment,Komment
activity::admin.top_stories_like,en,metafox/activity,Like,Like
activity::admin.top_stories_update_description,en,metafox/activity,Select the criterion to sort top stories in feed.,Válassza ki a feltételt a hírcsatorna legfontosabb híreinek rendezéséhez.
activity::admin.top_stories_update_label,en,metafox/activity,Criterion to sort top stories in feed,Kritérium a hírcsatorna legfontosabb híreinek rendezés
activity::admin.type,en,metafox/activity,Type,Típus
activity::mail.approved_feed_content,en,metafox/activity,Your pending post has been approved.,A függőben lévő bejegyzésed jóvá lett hagyva.
activity::mail.approved_feed_subject,en,metafox/activity,Your Pending Post Has Been Approved,A függőben lévő bejegyzésed jóvá lett hagyva.
activity::mail.pending_feed_content,en,metafox/activity,A post is waiting for your approval.,Egy bejegyzés vár az jóváhagyásodra.
activity::mail.pending_feed_subject,en,metafox/activity,A post is waiting for your approval.,Egy bejegyzés vár az jóváhagyásodra.
activity::mail.share_feed_subject,en,metafox/activity,:user share your post.,:user megosztotta a bejegyzésed.
activity::mail.user_reacted_to_a_post_you_shared_subject,en,metafox/activity,:user reacted to a post you shared.,":user reagált egy bejegyzésre, amit megosztottál."
activity::mail.user_reacted_to_your_post_subject,en,metafox/activity,:user reacted to your post: :title.,:user reagált a bejegyzésedre: :title.
activity::notification.an_admin_approved_your_post,en,metafox/activity,Admin has approved your post.,Az admin jóváhagyta a bejegyzésed.
activity::notification.an_admin_declined_your_post,en,metafox/activity,Admin has declined your post.,Az admin elutasította a bejegyzésed.
activity::notification.pending_post_in_entity_name_is_waiting_for_your_approval,en,metafox/activity,A post in :entity_type <b>:entity_title</b> is waiting for your approval.,Egy bejegyzés :entity_type <b>:entity_title</b> alatt vár jóváhagyásra tőled.
activity::notification.pending_post_is_waiting_for_your_approval,en,metafox/activity,A post is waiting for your approval.,Egy bejegyzés vár az jóváhagyásodra.
activity::notification.user_commented_on_owner_post,en,metafox/activity,"<b>{user}</b> {isTitle, select, 1 {commented on <b>{owner}'s</b> post: <b>{title}</b>} other {commented on <b>{owner}'s</b> post}}.","<b>{user}</b> {isTitle, select, 1 {commented on <b>{owner}'s</b> post: <b>{title}</b>} other {commented on <b>{owner}'s</b> post}}."
activity::notification.user_commented_on_post_that_you_are_tagged,en,metafox/activity,<b>:user</b> commented on a post that you are tagged in.,<b>:user</b> commented on a post that you are tagged in.
activity::notification.user_commented_to_your_post,en,metafox/activity,"<b>{user}</b> {isTitle, select, 1 {commented on your post: <b>{title}</b>} other {commented on your post}}.","<b>{user}</b> {isTitle, select, 1 {commented on your post: <b>{title}</b>} other {commented on your post}}."
activity::notification.user_commented_to_your_post_in_name,en,metafox/activity,"<b>{user}</b> commented on {user_name, select, your{your} other{<b>{user_name}'s</b>}} post in <b>{owner_name}</b>.","<b>{user}</b> commented on {user_name, select, your{your} other{<b>{user_name}'s</b>}} post in <b>{owner_name}</b>."
activity::notification.user_name_create_a_new_post,en,metafox/activity,"<b>{user_name}</b> {isTitle, select, 1 {created a new post: <b>{title}</b>} other {created a new post}}.","<b>{user_name}</b> {isTitle, select, 1 {created a new post: <b>{title}</b>} other {created a new post}}."
activity::notification.user_name_share_a_post,en,metafox/activity,"<b>{user_name}</b> {isTitle, select, 1 {share a post: <b>{title}</b>} other {share a post}}.","<b>{user_name}</b> {isTitle, select, 1 {share a post: <b>{title}</b>} other {share a post}}."
activity::notification.user_reacted_to_a_post_you_shared,en,metafox/activity,<b>{user}</b> reacted to a post you shared.,"<b>{user}</b> reagált egy bejegyzésre, amit megosztottál."
activity::notification.user_reacted_to_post_that_you_are_tagged_in_owner_name,en,metafox/activity,"<b>{user}</b> {isTitle, select, 1 {reacted to a post that you are tagged in <b>:owner_name</b>: "":feed_content""} other {reacted to a post that you are tagged in <b>:owner_name</b>}}.","<b>{user}</b> {isTitle, select, 1 {reacted to a post that you are tagged in <b>:owner_name</b>: "":feed_content""} other {reacted to a post that you are tagged in <b>:owner_name</b>}}."
activity::notification.user_reacted_to_post_you_are_tagged_title,en,metafox/activity,"<b>{user}</b> {isTitle, select, 1 {reacted to a post you are tagged in: "":feed_content""} other {reacted to a post you are tagged in}}.","<b>{user}</b> {isTitle, select, 1 {reacted to a post you are tagged in: "":feed_content""} other {reacted to a post you are tagged in}}."
activity::notification.user_reacted_to_your_post,en,metafox/activity,"<b>{user}</b> {isTitle, select, 1 {reacted to your post: <b>{title}</b>} other {reacted to your post}}.","<b>{user}</b> {isTitle, select, 1 {reacted to your post: <b>{title}</b>} other {reacted to your post}}."
activity::notification.user_reacted_to_your_post_in_name,en,metafox/activity,"<b>{user}</b> {isTitle, select, 1 {reacted to your post in <b>{owner_name}</b>: <b>{title}</b>} other {reacted to your post in <b>{owner_name}</b>}}.","<b>{user}</b> {isTitle, select, 1 {reacted to your post in <b>{owner_name}</b>: <b>{title}</b>} other {reacted to your post in <b>{owner_name}</b>}}."
activity::notification.user_share_your_page,en,metafox/activity,<b>{user}</b> share your {item_type} <b>{title}</b>.,<b>{user}</b> megosztotta a(z) {item_type} bejegyzésed <b>{title}</b> címét.
activity::notification.user_share_your_post,en,metafox/activity,"<b>{user}</b> {isTitle, select, 1 {share your post <b>{title}</b>} other {share your post}}.","<b>{user}</b> {isTitle, select, 1 {share your post <b>{title}</b>} other {share your post}}."
activity::notification.user_share_your_post_in_name,en,metafox/activity,"<b>{user}</b> {isTitle, select, 1 {share your post <b>{title}</b>} other {share your post}} in {owner_type}: <b>{owner_name}</b>.","<b>{user}</b> {isTitle, select, 1 {share your post <b>{title}</b>} other {share your post}} in {owner_type}: <b>{owner_name}</b>."
activity::permission.can_approve_activity_post_desc,en,metafox/activity,,
activity::permission.can_approve_activity_post_label,en,metafox/activity,Can approve pending activity posts?,Jóváhagyhatók a függőben lévő tevékenységbejegyzések?
activity::permission.can_auto_publish_sponsored_item_feed_desc,en,metafox/activity,,
activity::permission.can_auto_publish_sponsored_item_feed_label,en,metafox/activity,Auto publish sponsored item?,Automatikusan közzétehető a támogatott elem?
activity::permission.can_comment_feed_desc,en,metafox/activity,,
activity::permission.can_comment_feed_label,en,metafox/activity,Can post comments on activity feed?,Kommentelhetnek az aktivitásokon?
activity::permission.can_create_activity_snooze_desc,en,metafox/activity,,
activity::permission.can_create_activity_snooze_label,en,metafox/activity,Can create snoozes?,Készíthetnek késleltetéseket?
activity::permission.can_create_feed_desc,en,metafox/activity,,
activity::permission.can_create_feed_label,en,metafox/activity,Can create activity feed?,Létrehozhatnak tevékenységbejegyzéseket?
activity::permission.can_delete_activity_snooze_desc,en,metafox/activity,,
activity::permission.can_delete_activity_snooze_label,en,metafox/activity,Can delete snoozes?,Törölhetik a késleltetéseket?
activity::permission.can_delete_feed_desc,en,metafox/activity,,
activity::permission.can_delete_feed_label,en,metafox/activity,Can delete activity feed?,Törölhetik az aktivitásbejegyzéseket?
activity::permission.can_flood_control_feed_desc,en,metafox/activity,"Setting it to ""0"" (without quotes) is default and users will not have to wait.","Az alapértelmezett ""0""-ra állítása (idézőjelek nélkül) azt jelenti, hogy a felhasználóknak nem kell várniuk."
activity::permission.can_flood_control_feed_label,en,metafox/activity,How many minutes this user group should wait before they can post a new feed,"Hány percig kell várnia ennek a felhasználói csoportnak, mielőtt új bejegyzést tehetnek közzé?"
activity::permission.can_hide_feed_desc,en,metafox/activity,,
activity::permission.can_hide_feed_label,en,metafox/activity,Can hide activity feed?,Elrejthető az aktivitásbejegyzés?
activity::permission.can_like_feed_desc,en,metafox/activity,,
activity::permission.can_like_feed_label,en,metafox/activity,Can like activity feed?,Lájkolható az aktivitásbejegyzés?
activity::permission.can_moderate_activity_snooze_desc,en,metafox/activity,,
activity::permission.can_moderate_activity_snooze_label,en,metafox/activity,Can moderate snoozes?,Moderálhatók a késleltetések?
activity::permission.can_moderate_feed_desc,en,metafox/activity,,
activity::permission.can_moderate_feed_label,en,metafox/activity,Can moderate activity feed?,Moderálható az aktivitásbejegyzések?
activity::permission.can_pin_feed_desc,en,metafox/activity,,
activity::permission.can_pin_feed_label,en,metafox/activity,Can pin posts on Profile User/Page/Group?,Rögzíthetők bejegyzések a profil felhasználó/felhasználói oldal/csoporton?
activity::permission.can_pin_home_feed_desc,en,metafox/activity,,
activity::permission.can_pin_home_feed_label,en,metafox/activity,Can pin posts on home page,Rögzíthetők bejegyzések a kezdőlapon?
activity::permission.can_purchase_sponsor_activity_post_desc,en,metafox/activity,,
activity::permission.can_purchase_sponsor_activity_post_label,en,metafox/activity,Can sponsor activity posts?,Támogathatók az aktivitásbejegyzések?
activity::permission.can_purchase_sponsor_feed_desc,en,metafox/activity,,
activity::permission.can_purchase_sponsor_feed_label,en,metafox/activity,Can members of this user group purchase a sponsored ad space?,Vásárolhatnak-e a felhasználói csoport tagjai támogatott hirdetési helyet?
activity::permission.can_report_activity_post_desc,en,metafox/activity,,
activity::permission.can_report_activity_post_label,en,metafox/activity,Can report posts?,Jelenthetők a bejegyzések?
activity::permission.can_report_feed_desc,en,metafox/activity,,
activity::permission.can_report_feed_label,en,metafox/activity,Can report activity feed?,Jelenthetők az aktivitásbejegyzések?
activity::permission.can_report_share_desc,en,metafox/activity,,
activity::permission.can_report_share_label,en,metafox/activity,Can report shared posts?,Jelenthetők a megosztott bejegyzések?
activity::permission.can_save_activity_post_desc,en,metafox/activity,,
activity::permission.can_save_activity_post_label,en,metafox/activity,Can save posts?,Menthetők a bejegyzések?
activity::permission.can_save_share_desc,en,metafox/activity,,
activity::permission.can_save_share_label,en,metafox/activity,Can save shared posts?,Menthetők a megosztott bejegyzések?
activity::permission.can_share_feed_desc,en,metafox/activity,,
activity::permission.can_share_feed_label,en,metafox/activity,Can share activity feed?,Megoszthatók az aktivitásbejegyzések?
activity::permission.can_sponsor_activity_post_desc,en,metafox/activity,,
activity::permission.can_sponsor_activity_post_label,en,metafox/activity,Can sponsor activity posts?,Támogathatók az aktivitásbejegyzések?
activity::permission.can_sponsor_feed_desc,en,metafox/activity,,
activity::permission.can_sponsor_feed_label,en,metafox/activity,Can sponsor activity feeds?,Támogathatók az aktivitásbejegyzés?
activity::permission.can_sponsor_free_feed_desc,en,metafox/activity,,
activity::permission.can_sponsor_free_feed_label,en,metafox/activity,Can sponsor feeds without paying sponsor fee?,Támogathatók a bejegyzések díj fizetése nélkül?
activity::permission.can_sponsor_in_feed_activity_post_desc,en,metafox/activity,,
activity::permission.can_sponsor_in_feed_activity_post_label,en,metafox/activity,Can sponsor activity posts in feed without paying sponsor fee?,Támogathatók az aktivitásbejegyzések a hírfolyamban díj fizetése nélkül?
activity::permission.can_update_activity_snooze_desc,en,metafox/activity,,
activity::permission.can_update_activity_snooze_label,en,metafox/activity,Can update snoozes?,Frissíthetők a késleltetések?
activity::permission.can_update_feed_desc,en,metafox/activity,,
activity::permission.can_update_feed_label,en,metafox/activity,Can edit activity feed?,Szerkeszthetők az aktivitásbejegyzések?
activity::permission.can_view_activity_snooze_desc,en,metafox/activity,,
activity::permission.can_view_activity_snooze_label,en,metafox/activity,Can view snoozes?,Megtekinthetők a késleltetések?
activity::permission.can_view_feed_desc,en,metafox/activity,,
activity::permission.can_view_feed_label,en,metafox/activity,Can view activity feeds?,Megtekinthetők az aktivitásbejegyzések?
activity::phrase.activities,en,metafox/activity,Activities,Tevékenységek
activity::phrase.activity,en,metafox/activity,Feed,Hírfolyam
activity::phrase.activity_feed_approved_notification_type,en,metafox/activity,Approve Pending Feed,Jóváhagyásra váró hírfolyam
activity::phrase.activity_feed_declined_notification_type,en,metafox/activity,The feed has been declined,A hírfolyam elutasításra került
activity::phrase.activity_feed_pending_notification_type,en,metafox/activity,Pending Feed,Függőben lévő hírfolyam
activity::phrase.activity_feed_tagged_notification_type,en,metafox/activity,Tagged In Feed,Címkézve a hírfolyamban
activity::phrase.activity_notification_type,en,metafox/activity,Feed Notifications,Hírfolyam értesítések
activity::phrase.activity_post_label_saved,en,metafox/activity,Saved Post,Mentett bejegyzés
activity::phrase.activity_post_stat_label,en,metafox/activity,Status Posts,Állapotbejegyzések
activity::phrase.activity_post_type,en,metafox/activity,Activity Post Type,Tevékenység típusú bejegyzés
activity::phrase.activity_share_notification_type,en,metafox/activity,Share Feed,Hírfolyam megosztása
activity::phrase.activity_share_type,en,metafox/activity,Activity Share Type,Tevékenység megosztás típusa
activity::phrase.activity_type_can_comment,en,metafox/activity,Can users comment on this activity type?,Lehetséges-e kommentelni ezen tevékenység típuson?
activity::phrase.activity_type_can_create_feed,en,metafox/activity,Create Feed,Hírfolyam létrehozása
activity::phrase.activity_type_can_edit,en,metafox/activity,Can users edit status this activity type?,Lehetséges-e szerkeszteni a státusz ezen tevékenység típuson?
activity::phrase.activity_type_can_like,en,metafox/activity,Can users react on this activity type?,Lehetséges-e reagálni ezen tevékenység típusra?
activity::phrase.activity_type_can_redirect_to_detail,en,metafox/activity,The feed of activity type can be redirected to detail page of item.,Az adott tevékenység típusú hírfolyam átirányítható az elem részletes oldalára?
activity::phrase.activity_type_can_share,en,metafox/activity,Can users share this activity type?,Lehetséges-e megosztani ezt az aktivitás típust?
activity::phrase.add_new_item,en,metafox/activity,Added media attachments,Hozzáadott média mellékletek
activity::phrase.ad_mob_feed_detail_page,en,metafox/activity,Feed > Feed - Detail Page,Hírfolyam > Hírfolyam - Részletes oldal
activity::phrase.app_name,en,metafox/activity,Feed,Hírfolyam
activity::phrase.attachment_is_not_valid,en,metafox/activity,Attachment is not available,A melléklet nem elérhető
activity::phrase.captcha_on_create_activity_post,en,metafox/activity,Enable CAPTCHA challenge when posting new status,Engedélyezze a CAPTCHA kihívást az új státuszok közzétételekor
activity::phrase.check_in,en,metafox/activity,Check-in,Belépés
activity::phrase.confirm_block_title,en,metafox/activity,Block member,Tag letiltása
activity::phrase.copy_link,en,metafox/activity,Copy link,Link másolása
activity::phrase.create_post_form,en,metafox/activity,Create post form,Bejegyzés létrehozása űrlap
activity::phrase.decline_post_and_block_author,en,metafox/activity,Decline post and block author,Bejegyzés elutasítása és szerző letiltása
activity::phrase.delete_confirm,en,metafox/activity,Are you sure you want to permanently delete this post?,Biztosan véglegesen törölni szeretné ezt a bejegyzést?
activity::phrase.deleted_item,en,metafox/activity,The media files have been removed from this post.,A médiatartalmakat eltávolították erről a bejegyzésről.
activity::phrase.delete_post,en,metafox/activity,Delete Post,Bejegyzés törlése
activity::phrase.edit_activity_type,en,metafox/activity,Edit Activity Type,Tevékenység típus szerkesztése
activity::phrase.edit_post,en,metafox/activity,Edit Post,Bejegyzés szerkesztése
activity::phrase.enable_this_activity_type,en,metafox/activity,Enable this activity type?,Engedélyezze ezt a tevékenység típust?
activity::phrase.entity_type_activity_post,en,metafox/activity,post,Bejegyzés
activity::phrase.entity_type_feed,en,metafox/activity,feed,Hírfolyam
activity::phrase.entity_type_share,en,metafox/activity,share,Megosztás
activity::phrase.feed,en,metafox/activity,Feed,Hírfolyam
activity::phrase.feed_cannot_be_created,en,metafox/activity,Feed cannot be created.,A hírfolyam nem hozható létre.
activity::phrase.feed_created_successfully,en,metafox/activity,Post was created successfully.,A bejegyzés sikeresen létrehozva.
activity::phrase.feed_default_privacy,en,metafox/activity,Feed default privacy,Hírfolyam alapértelmezett adatvédelme
activity::phrase.feed_deleted_successfully,en,metafox/activity,Post was deleted successfully.,A bejegyzés sikeresen törölve.
activity::phrase.feed_edit_successfully,en,metafox/activity,Post was updated successfully.,A bejegyzés sikeresen frissítve.
activity::phrase.feed_global_search_label,en,metafox/activity,Posts,Bejegyzések
activity::phrase.feed_label_saved,en,metafox/activity,Feed,Hírfolyam
activity::phrase.feeds,en,metafox/activity,Feeds,Hírfolyamok
activity::phrase.hide_all_from_owner_full_name,en,metafox/activity,Hide All From :owner_full_name,Mindent elrejt :owner_full_name
activity::phrase.hide_all_from_shared_owner_full_name,en,metafox/activity,Hide All From :shared_owner_full_name,Mindent elrejt :shared_owner_full_name
activity::phrase.hide_all_from_shared_user_full_name,en,metafox/activity,Hide All From :shared_user_full_name,Mindent elrejt :shared_user_full_name
activity::phrase.hide_all_from_user_full_name,en,metafox/activity,Hide All From :user_full_name,Mindent elrejt :user_full_name
activity::phrase.hide_this_post,en,metafox/activity,Hide this Post,Rejtse el ezt a bejegyzést
activity::phrase.is_system_activity_type,en,metafox/activity,Is system activity type?,Rendszeraktivitás típusa?
activity::phrase.manage_activity,en,metafox/activity,Manage Activity,Tevékenység kezelése
activity::phrase.no_content,en,metafox/activity,No Content,Nincs tartalom
activity::phrase.permission.activity_post.create,en,metafox/activity,Activity Post Create Permission,Tevékenység bejegyzés létrehozásának engedélyezése
activity::phrase.permission.activity_post.delete,en,metafox/activity,Activity Post Delete Permission,Tevékenység bejegyzés törlésének engedélyezése
activity::phrase.permission.activity_post.moderate,en,metafox/activity,Activity Post Moderate Permission,Tevékenység bejegyzés moderálásának engedélyezése
activity::phrase.permission.activity_post.update,en,metafox/activity,Activity Post Update Permission,Tevékenység bejegyzés frissítésének engedélyezése
activity::phrase.permission.activity_post.view,en,metafox/activity,Activity Post View Permission,Tevékenység bejegyzés megtekintésének engedélyezése
activity::phrase.permission.activity_snooze.create,en,metafox/activity,Activity Snooze Create Permission,Tevékenység késleltetés létrehozásának engedélyezése
activity::phrase.permission.activity_snooze.delete,en,metafox/activity,Activity Snooze Delete Permission,Tevékenység késleltetés törlésének engedélyezése
activity::phrase.permission.activity_snooze.moderate,en,metafox/activity,Activity Snooze Moderate Permission,Tevékenység késleltetés moderálásának engedélyezése
activity::phrase.permission.activity_snooze.update,en,metafox/activity,Activity Snooze Update Permission,Tevékenység késleltetés frissítésének engedélyezése
activity::phrase.permission.activity_snooze.view,en,metafox/activity,Activity Snooze View Permission,Tevékenység késleltetés megtekintésének engedélyezése
activity::phrase.permission.feed.can_purchase_sponsor,en,metafox/activity,Activity Feed Can Purchase Sponsor Permission,Tevékenység hírfolyam támogatás vásárlásának engedélyezése
activity::phrase.permission.feed.can_sponsor_feed,en,metafox/activity,Activity Feed Can Sponsor Feed Permission,Tevékenység hírfolyam támogatásának engedélyezése
activity::phrase.permission.feed.create,en,metafox/activity,Activity Feed Create Permission,Tevékenység hírfolyam létrehozásának engedélyezése
activity::phrase.permission.feed.delete,en,metafox/activity,Activity Feed Delete Permission,Tevékenység hírfolyam törlésének engedélyezése
activity::phrase.permission.feed.hide,en,metafox/activity,Activity Feed Hide Permission,Tevékenység hírfolyam elrejtésének engedélyezése
activity::phrase.permission.feed.moderate,en,metafox/activity,Activity Feed Moderate Permission,Tevékenység hírfolyam moderálásának engedélyezése
activity::phrase.permission.feed.update,en,metafox/activity,Activity Feed Update Permission,Tevékenység hírfolyam frissítésének engedélyezése
activity::phrase.permission.feed.view,en,metafox/activity,Activity Feed View Permission,Tevékenység hírfolyam megtekintésének engedélyezése
activity::phrase.permissions,en,metafox/activity,Permissions,Engedélyek
activity::phrase.pin_post,en,metafox/activity,Pin this Post to your Profile,Rögzítse ezt a bejegyzést a profiljára
activity::phrase.pin_post_on_homepage,en,metafox/activity,Pin Post on Homepage,Rögzítse a bejegyzést a kezdőlapra
activity::phrase.pin_this_post_to_your_profile,en,metafox/activity,Pin this Post to your Profile,Rögzítse ezt a bejegyzést a profiljára
activity::phrase.poll,en,metafox/activity,Poll,Szavazás
activity::phrase.post_in_process_message,en,metafox/activity,Your post is being processed. We'll let you know when it is ready to view.,"A bejegyzés feldolgozás alatt van. Értesítünk, amikor megtekinthető lesz."
activity::phrase.posts,en,metafox/activity,Posts,Bejegyzések
activity::phrase.post_successfully_removed,en,metafox/activity,Post was removed successfully.,A bejegyzés sikeresen eltávolítva.
activity::phrase.purchase_sponsor_price_desc,en,metafox/activity,,
activity::phrase.purchase_sponsor_price_label,en,metafox/activity,How much does it cost to sponsor a feed post? This works in a CPM basis.,Mennyibe kerül egy hírfolyambejegyzés támogatása? Ez CPM alapon működik.
activity::phrase.removed_item,en,metafox/activity,Removed media attachments,Eltávolított média mellékletek
activity::phrase.removed_tag_successfully,en,metafox/activity,Removed tag successfully.,Sikeresen eltávolított címkék.
activity::phrase.remove_from_saved_list,en,metafox/activity,Remove from Saved list,Távolítsa el a Mentett listáról
activity::phrase.remove_post,en,metafox/activity,Remove Post,Bejegyzés eltávolítása
activity::phrase.remove_post_and_block_author,en,metafox/activity,Remove post and block author,Bejegyzés eltávolítása és a szerző blokkolása
activity::phrase.remove_tag,en,metafox/activity,Remove Tag,Címke eltávolítása
activity::phrase.report,en,metafox/activity,Report,Jelentés
activity::phrase.report_item,en,metafox/activity,Report Item,Elem jelentése
